distortion,severity,accuracy
gaussian_noise,1,85.63
gaussian_noise,2,80.05
gaussian_noise,3,73.34
gaussian_noise,4,69.17
gaussian_noise,5,66.35
shot_noise,1,88.46
shot_noise,2,85.59
shot_noise,3,77.63
shot_noise,4,74.33
shot_noise,5,68.15
impulse_noise,1,88.28
impulse_noise,2,84.58
impulse_noise,3,79.4
impulse_noise,4,69.61
impulse_noise,5,60.59
defocus_blur,1,91.88
defocus_blur,2,91.21
defocus_blur,3,90.96
defocus_blur,4,88.91
defocus_blur,5,85.33
glass_blur,1,68.26
glass_blur,2,68.05
glass_blur,3,68.87
glass_blur,4,56.62
glass_blur,5,57.36
motion_blur,1,90.23
motion_blur,2,87.61
motion_blur,3,85.01
motion_blur,4,84.84
motion_blur,5,82.48
zoom_blur,1,89.79
zoom_blur,2,88.99
zoom_blur,3,88.39
zoom_blur,4,86.82
zoom_blur,5,84.82
snow,1,87.87
snow,2,81.17
snow,3,81.59
snow,4,79.31
snow,5,77.44
frost,1,89.25
frost,2,86.37
frost,3,81.99
frost,4,81.34
frost,5,76.87
fog,1,91.49
fog,2,91.12
fog,3,89.73
fog,4,87.7
fog,5,79.72
brightness,1,91.63
brightness,2,91.51
brightness,3,91.62
brightness,4,90.98
brightness,5,89.39
contrast,1,91.68
contrast,2,90.81
contrast,3,89.89
contrast,4,89.11
contrast,5,85.67
elastic_transform,1,87.46
elastic_transform,2,88.54
elastic_transform,3,87.27
elastic_transform,4,81.07
elastic_transform,5,72.14
pixelate,1,89.2
pixelate,2,87.76
pixelate,3,85.94
pixelate,4,81.49
pixelate,5,71.1
jpeg_compression,1,85.42
jpeg_compression,2,79.99
jpeg_compression,3,78.54
jpeg_compression,4,76.11
jpeg_compression,5,72.71
